lap_after_pit;Fuel;Tyre Remaining;Tyre Choice;Lap Time
8;25.37940564;63.08027425;Extra Soft;70.78747993
9;22.92683134;58.46530853;Extra Soft;70.42738433
10;20.47425705;53.85034282;Extra Soft;70.92228874
11;18.02168275;49.2353771;Extra Soft;71.30219314
12;15.56910846;44.62041138;Extra Soft;70.76809755
13;13.11653416;40.00544566;Extra Soft;70.19200195
14;10.66395987;35.39047994;Extra Soft;69.07090635
15;8.211385573;30.77551422;Extra Soft;70.03081076
16;5.758811278;26.1605485;Extra Soft;69.57671516
17;3.306236983;21.54558279;Extra Soft;70.20961957
18;0.853662688;16.93061707;Extra Soft;69.70052397
