customer,age,occupation,regiontype,marriagestatus,children,income,numhandsets,handsetage,smartphone,currenthandsetprice,creditrating,homeowner,creditcard,avgbill,avgmins,avgrecurringcharge,avgoverbundlemins,avgroamcalls,callminuteschangepct,billamountchangepct,avgreceivedmins,avgoutcalls,avgincalls,peakoffpeakratio,peakoffpeakratiochangepct,avgdroppedcalls,lifetime,lastmonthcustomercarecalls,numretentioncalls,numretentionoffersaccepted,newfrequentnumbers,churn_dum1,churn_dum2,churn
1000196,0, , , unknown, false,0,4,831, false,9.9899998, G, true,false,46.939999,287,30,62.5,.31999999,-1.14,-.27939999,48.400002,17.33,1.33,5.0162683,-19.970768,3.6700001,55,3.3299999,0,0,0,1,0,0
1000230,32, , , no, false,3,5,99, true,129.99001, D, false,true,87.519997,699,80,0,2.78,-1.72,-.0614,272.07001,72,30.67,2.7743318,16.14509,13.67,55,1.33,0,0,0,1,0,0
1000265,54, self-employed, suburban, yes, false,7,4,443, true,149.99001, B, false,true,50.580002,432.25,50,5.75,0,2.7750001,.034400001,29.99,12.67,1.33,5.1782875,6.4947143,2.3299999,55,0,0,0,0,1,0,0
1000312,54, , , yes, false,9,3,53, true,9.9899998, A, false,true,51.630001,409.25,50,0,0,.35499999,-.032600001,59.240002,20.67,3.3299999,4.7426023,13.451145,7,50,3,0,0,0,1,0,0
1000328,58, , suburban, yes, false,7,4,160, true,29.99, A, false,true,74.089996,456.75,79.989998,31.75,1.4,-1.255,-.28200001,67.540001,10.67,6.6700001,1.4709576,3.1060722,3,52,1,0,0,1,1,0,0
1000357,32, , suburban, no, false,7,4,632, true,29.99, C, false,true,74.370003,585.25,80.879997,0,0,1.535,-.69679999,181.02,18.67,5.3299999,2.9997029,9.3554049,5,52,.33000001,0,0,0,1,0,0
1000396,40, professional, suburban, yes, true,5,1,1511, false,0, C, false,true,76.209999,862.75,50,204,0,1.5650001,.1444,240.59,37.669998,38,3.6424415,-7.9511824,8.3299999,50,0,0,0,0,1,0,0
1000422,48, professional, town, yes, false,6,10,16, true,9.9899998, A, false,true,83.580002,879.25,96.779999,5.25,0,.89499998,-.064000003,295.13,34,21.33,5.6739998,-4.9036345,17.33,54,0,0,0,0,1,0,0
1000455,0, , , unknown, false,0,5,767, true,29.99, A, true,false,61.029999,133.75,69.989998,0,0,-.235,-.001,7.9499998,5.3299999,1.33,1.1849999,-2.7192416,2,47,0,0,0,0,1,0,0
1000481,50, , suburban, yes, false,6,5,341, true,9.9899998, D, false,true,93.580002,1804,75,25.75,0,4.0999999,.2606,600.84003,54.330002,1.33,7.469697,-8.1481056,18,49,0,0,0,0,1,0,0
1000511,38, clerical, suburban, no, false,5,6,268, true,59.990002, A, false,true,93.199997,1032.5,75,0,0,5.0100002,-.2296,340.84,63,25.67,2.6878302,11.341439,19.67,51,2,0,0,0,1,0,0
1000540,38, , , no, false,6,2,872, true,29.99, C, false,true,71.010002,711.5,59.990002,69.25,0,-7.6300001,-.40059999,210.82001,27,9.3299999,.9363901,9.087286,12.67,51,0,0,0,0,1,0,0
1000566,42, , , unknown, false,5,5,99, true,9.9899998, A, true,false,95.269997,815.25,94.989998,0,0,-7.0050001,-.1406,183.07001,16.33,12.33,3.3836548,-4.4082074,20,47,1,0,0,0,1,0,0
1000609,34, , suburban, no, false,7,5,163, true,9.9899998, A, false,true,53.759998,859.75,59.990002,11.75,0,.345,-.075400002,0,0,0,0,-3.4668047,0,53,0,0,0,0,1,0,0
1000630,34, , suburban, yes, false,6,4,147, true,149.99001, A, false,true,236.02,1493.5,70,650.25,.47,15.41,3.3792,349.85001,122.33,24,2.0273907,5.1388121,6,47,.33000001,0,0,0,1,0,0
1000636,56, , suburban, no, true,9,14,39, true,9.9899998, C, false,true,101.17,984.5,84.989998,86.5,0,-14.73,-.4508,257.44,24.67,27.67,3.1884782,.29012272,33.669998,49,.67000002,1,1,0,1,0,0
1000652,40, clerical, suburban, yes, true,7,8,162, true,9.9899998, A, false,true,559.78998,6336.25,75,4320.75,0,2.7149999,1.9452,807.76001,285,36,8.6035805,2.7944229,88.330002,51,0,0,0,0,1,0,0
1000662,0, , suburban, unknown, false,0,2,620, true,29.99, A, true,false,75.730003,410.75,50,0,6.9099998,1.845,.27059999,20.950001,8,0,2.9654295,-11.700387,9.3299999,49,0,0,0,0,1,0,0
1000675,48, , , unknown, false,1,6,664, true,29.99, A, false,true,62.130001,764.75,50,121.25,0,2.1849999,.077600002,270.04999,27.67,94.330002,5.4175057,-5.0045619,51,49,2.6700001,0,0,2,1,0,0
1000711,50, , suburban, yes, true,6,1,1476, false,0, E, false,true,59.990002,63.25,59.990002,0,0,-.025,0,4.8600001,4.6700001,.67000002,1.9041626,-4.1388812,1.67,49,1,0,0,0,1,0,0
1000749,54, professional, suburban, yes, true,9,2,369, true,29.99, A, false,true,33.599998,172.5,39.990002,0,.38999999,1.41,-.032600001,4.6700001,0,0,4.7748976,-3.9555862,4,52,0,0,0,2,1,0,0
1000787,48, professional, town, yes, false,7,1,1463, false,0, A, false,true,95.099998,817.75,30,150.75,0,11.945,.80699998,167.78999,29,2.3299999,1.1681107,6.6738472,3.6700001,48,0,0,0,1,1,0,0
1000807,52, , suburban, no, true,9,3,505, true,9.9899998, A, false,true,91.150002,1072.5,75,0,8.75,.49000001,-.26359999,320.67001,33.669998,7.3299999,1.909376,-.55094188,19,48,0,0,0,0,1,0,0
1000828,42, , , unknown, false,4,2,461, true,29.99, E, false,true,75.57,444,40.07,86,0,-.14,-.67199999,141.05,18,1,1.0677966,.31611431,5,50,0,0,0,0,1,0,0
1000842,0, , , unknown, false,0,4,60, true,79.989998, A, true,false,64.959999,410.75,21.610001,77.75,0,-6.9349999,-1.4342,273,19.67,14,1.9156439,-9.3110762,9.3299999,50,3,0,0,0,1,0,0
1000859,48, professional, town, yes, false,9,5,152, true,149.99001, A, false,true,60.48,514.5,50,20,3.78,-2.3299999,-.022399999,228.78999,16.67,7,14.341591,-15.688141,6,46,0,0,0,0,1,0,0
1000895,0, , , unknown, false,0,3,685, false,29.99, A, true,false,37.259998,133.5,44.990002,0,.28999999,-1.39,.0098000001,2.3299999,11.33,.67000002,1.9731649,-17.944355,3,47,0,0,0,0,1,0,0
1000905,52, , rural, no, true,6,3,409, true,29.99, C, false,true,10,0,10,0,0,0,0,0,0,0,0,-10.197954,0,49,0,0,0,0,1,0,0
1000929,26, , , no, false,3,8,91, true,199.99001, C, true,false,218.86,1428,119.99,234.5,4.2800002,8.6999998,.2174,169.55,230,20,2.8893478,-5.0006356,38.669998,49,0,0,0,0,1,0,0
1000959,40, , suburban, yes, false,9,6,341, true,9.9899998, A, false,true,120.04,1285.25,84.989998,163.75,0,-6.4450002,-.83600003,257.34,154.67,51,4.0862198,-4.1631246,74.669998,45,1,0,0,0,1,0,0
1000971,52, , suburban, yes, false,6,2,411, true,29.99, A, false,true,35.240002,892.5,44.990002,0,0,.029999999,-.0049999999,208.82001,8.3299999,2,1.0169836,-15.160251,13.33,49,3,0,0,2,1,0,0
1000983,42, self-employed, , no, false,9,2,227, true,29.99, A, false,true,66.459999,439,69.989998,8.75,0,-4.1199999,-.0502,26.09,14.67,0,1.2331727,-10.467026,7.3299999,47,0,0,0,0,1,0,0
1000995,56, , , yes, false,6,1,1356, false,0, A, false,true,31.58,121.5,16.99,39.5,0,1.49,.4594,.28,0,0,1.9992107,-8.9428968,3.3299999,45,0,0,0,0,1,0,0
1001009,44, professional, , yes, true,9,3,80, true,9.9899998, A, false,true,10.7,111.25,9.71,0,0,.235,.025599999,40.950001,7,10.67,16.02146,-17.571657,0,51,0,0,0,0,1,0,0
1001022,36, professional, town, yes, true,7,5,111, true,29.99, C, false,true,34.189999,280.5,35.990002,0,0,-.13,0,87.019997,8,.67000002,10.185555,5.7101789,2,50,0,0,0,0,1,0,0
1001041,0, , , unknown, false,0,21,318, true,29.99, B, true,false,35.240002,421,44.990002,0,0,2.22,.0148,18.49,27.33,3.3299999,1.113952,-18.162069,11,46,6.6700001,0,0,3,1,0,0
1001058,30, , suburban, no, false,8,3,781, true,29.99, A, true,true,28.889999,181,14.99,0,2.45,-1.26,-.223,40.450001,6,0,1.4140453,12.13425,2.3299999,50,0,0,0,0,1,0,0
1001067,0, , , unknown, false,7,5,336, true,39.990002, A, false,true,160.95,1368.25,77.489998,263.75,0,-1.5650001,-.30180001,446.32999,91,73.330002,2.8093529,5.988636,14,44,2.6700001,0,0,0,1,0,0
1001094,58, , , unknown, false,8,3,78, true,29.99, A, false,true,63.130001,1070,45,72.5,0,2.76,.38260001,279.10001,89.669998,2.6700001,11.420786,-16.846918,19,48,.33000001,0,0,0,1,0,0
1001108,0, , suburban, no, true,7,2,268, true,29.99, A, true,true,30.25,206.5,30,0,0,.61000001,.0148,7.9299998,14.33,6,.9666,2.879133,1.33,48,0,0,0,0,1,0,0
1001123,52, professional, suburban, yes, true,7,3,388, true,29.99, A, false,true,46.990002,336.25,24.99,56.75,0,4.2750001,1.0252,145.87,18.33,16.67,1.2846341,5.5593705,11,48,.33000001,0,0,0,1,0,0
1001157,44, , suburban, yes, false,6,2,15, false,29.99, A, false,true,124.2,432.75,45.25,134.25,.1,-4.1750002,1.4332,159.89999,28,.33000001,3.6771822,-4.2670765,5.6700001,50,1.33,0,0,0,1,0,0
1001176,42, , town, yes, true,9,2,399, true,29.99, A, false,true,75.910004,281.25,84.989998,0,0,.79500002,-.0184,5.4000001,30,3.6700001,5.4358015,-4.802527,2.3299999,44,.33000001,0,0,1,1,0,0
1001200,46, self-employed, , yes, true,9,3,311, true,149.99001, A, false,true,51.240002,437.75,50,0,0,-1.3150001,-.0049999999,46.16,23,.33000001,3.3519444,10.914402,5.3299999,49,0,0,0,0,1,0,0
1001210,42, , , no, false,5,2,178, true,29.99, C, false,true,40.049999,553.25,44.990002,0,4.25,4.7150002,.079999998,185.83,41,12.67,.34411258,13.685974,2.3299999,43,0,0,0,0,1,0,0
1001219,26, , suburban, unknown, false,7,5,171, true,99.989998, A, false,true,36.889999,340.75,44.990002,4.75,0,.98500001,.066,0,0,0,0,-6.7406178,0,49,0,0,0,0,1,0,0
1001231,0, , , unknown, false,0,3,636, true,29.99, A, true,false,78.720001,943.75,75,0,1.51,-.375,-.071400002,127.32,27.67,20.33,4.6910567,-4.6437764,29,45,0,0,0,0,1,0,0
1001256,48, , rural, yes, true,5,3,348, true,59.990002, A, false,true,94.199997,957,50.029999,137.5,0,-2.72,-.57260001,298.42999,22,.67000002,.99578619,2.8571434,24.33,47,9,0,0,0,1,0,0
1001276,0, , suburban, unknown, false,0,1,1375, false,0, A, true,false,19.950001,10.25,19.950001,0,0,.115,0,.46000001,.67000002,0,2.2556391,2.6538491,.33000001,45,0,0,0,0,1,0,0
1001288,0, , suburban, unknown, false,0,8,293, true,79.989998, A, true,false,159.53,1617.75,154.99001,0,0,-6.5749998,-.086800002,320.48999,47.669998,30.33,4.5373387,-8.3666525,17.33,45,.33000001,0,0,0,1,0,0
1001306,54, professional, suburban, yes, true,9,1,1479, false,0, A, false,true,31.24,46,30,0,0,-.039999999,-.0049999999,0,.67000002,0,1.0706638,4.8432708,0,49,0,0,0,0,1,0,0
1001317,46, , , yes, false,5,2,598, true,29.99, A, false,true,35.740002,48.25,32.490002,0,0,-.185,0,2.2,2.6700001,0,1.713062,-1.776013,1,49,0,0,0,0,1,0,0
1001331,54, , , no, false,6,5,191, true,99.989998, A, false,true,51.93,434.25,50.009998,0,1.6799999,-1.285,.19660001,148.13,12.67,6,3.9116871,.35261968,4.6700001,45,0,0,0,0,1,0,0
1001339,0, , , unknown, false,0,8,174, true,29.99, D, true,false,76.589996,904.25,75,0,.91000003,.83499998,-.0112,257.01999,68,69.330002,1.8329034,-19.744661,24,43,0,0,0,0,1,0,0
1001363,46, , town, yes, true,8,2,338, true,29.99, A, false,true,30.27,44.75,30,0,0,-.075000003,-.0054000001,3.5699999,5,2,2.1164021,-13.834151,1,43,0,0,0,2,1,0,0
1001381,22, , , no, true,7,2,203, false,29.99, A, false,true,30.52,78.5,30,0,0,.41,-.0104,18.690001,4,2.6700001,11.665,3.5968552,.67000002,43,0,0,0,0,1,0,0
1001406,48, , , no, false,6,13,62, true,29.99, C, false,false,45.950001,802,37.990002,11.5,0,-3.1199999,-.0942,236.72,23.33,73.330002,1.7811193,12.801569,7,47,4,0,0,0,1,0,0
1001415,44, professional, , unknown, false,5,3,837, true,29.99, C, false,true,55.259998,269,50,0,1.27,-.89999998,.0108,31.83,55.669998,1,7.2594442,-.56895524,3,47,0,0,0,0,1,0,0
1001476,0, , , unknown, false,0,6,139, true,199.99001, C, true,false,179.63,1008,70.230003,285.25,15.96,1.5599999,.71640003,243.38,37.669998,6.6700001,2.2949557,-2.3965607,15.33,43,3,0,0,0,1,0,0
1001487,48, , suburban, yes, true,6,2,809, false,29.99, C, false,true,61.740002,186,61.439999,0,.58999997,-.86000001,-.0276,25.9,12,8.3299999,3.157064,-2.835839,0,47,0,0,0,0,1,0,0
1001512,38, , town, no, false,8,3,392, true,149.99001, C, false,true,148.95,1515.75,104.99,154.75,0,9.665,1.1518,496.48999,59.330002,11.67,1.7065552,-1.231429,18,45,0,0,0,0,1,0,0
1001527,38, , suburban, yes, true,9,2,656, true,29.99, A, false,true,55.580002,389.5,30,70.25,0,.64999998,.2432,68.489998,3,.33000001,4.0555553,2.8294654,3,45,2.3299999,0,0,0,1,0,0
1001551,0, , , unknown, false,0,2,136, true,29.99, A, true,false,34.59,380.25,44.990002,4.5,0,-1.125,-.027000001,66.730003,47.669998,1.33,.390625,3.2876885,6.3299999,45,.33000001,0,0,0,1,0,0
1001569,46, , , unknown, false,6,3,202, true,29.99, A, false,true,36.669998,925,44.990002,2.75,1.48,3.0999999,.049400002,79.779999,0,0,.57870269,20.007376,15.33,45,8,0,0,0,1,0,0
1001587,50, , suburban, yes, true,7,7,45, true,199.99001, A, false,true,59.23,599.5,59.990002,0,.49000001,8.4899998,-.1848,145.42999,29,29.33,.6289134,-10.441285,13,45,0,1,1,0,1,0,0
1001603,30, , , yes, false,7,6,334, true,9.9899998, C, true,false,36.509998,1226,35.990002,0,.2,.12,-.0104,352.34,55.669998,14.67,.51982468,10.376228,16,42,6.6700001,0,0,0,1,0,0
1001636,0, , town, unknown, false,0,2,32, true,29.99, F, true,false,35.389999,319.25,30,12.5,0,3.2950001,.2422,100.76,9.3299999,4.6700001,.73839897,-16.144974,2.6700001,42,0,0,0,0,1,0,0
1001646,46, self-employed, suburban, yes, false,6,1,1347, false,0, A, false,true,48.93,517,37.5,43.75,0,-3.4400001,-.97860003,33.419998,20.67,.33000001,2.8934772,-11.941595,5,44,0,1,0,0,1,0,0
1001667,0, , town, unknown, false,0,3,579, true,59.990002, C, true,false,61.41,601.25,48.830002,57.75,0,-3.6849999,-.17,49.689999,38.669998,6,2.614099,4.4067059,15,44,.33000001,0,0,0,1,0,0
1001692,38, , town, unknown, false,6,3,543, true,29.99, A, false,false,161.49001,1958.5,159.99001,0,0,-2.29,-.051800001,181.46001,189.67,13,3.522589,-4.708735,21.67,42,0,0,0,1,1,0,0
1001706,36, , , no, false,6,7,105, true,0, A, true,false,40.779999,372.25,35.990002,12.75,0,-2.9849999,-.056200001,37.950001,17.67,0,6.248807,-.03476188,21.33,46,.33000001,0,0,0,1,0,0
1001717,34, , , no, false,4,5,185, true,9.9899998, A, false,true,139.58,3098.5,75,248.75,0,-.70999998,-.44159999,1135.88,71.330002,65,.98175514,14.276364,48,42,12.33,0,0,3,1,0,0
1001728,20, , suburban, unknown, false,5,3,673, true,29.99, G, false,true,63.369999,951,85,0,0,3.6600001,.3118,208.28,180,40.669998,.9417091,3.7484894,10.67,48,0,0,0,0,1,0,0
1001737,0, , , unknown, false,0,6,30, true,129.99001, D, true,false,79.290001,1230.5,77.959999,.5,0,6.0700002,.058800001,379.23999,82.330002,46.669998,2.3196568,-2.4509118,17.67,48,2,0,0,0,1,0,0
1001762,52, professional, , no, false,5,1,1379, false,0, A, false,true,50.5,230.75,50,0,0,-.97500002,.0098000001,4.1399999,13,.33000001,2.1851852,2.0503237,1.67,46,0,0,0,0,1,0,0
1001781,62, , , yes, false,4,2,479, true,29.99, C, true,false,55.23,498.75,57.919998,0,0,3.425,.0148,287.23999,34.669998,3,13.582297,9.160162,13.67,44,0,0,0,0,1,0,0
1001810,32, , , unknown, false,0,4,584, true,9.9899998, C, true,true,54.09,528.5,50,12.25,.41999999,-.58999997,-.081799999,130.09,56,17.67,3.9499245,-6.8427219,4.6700001,46,0,0,0,0,1,0,0
1001823,28, self-employed, , no, false,5,6,165, true,199.99001, A, false,true,50.09,1600,54.990002,0,.1,3.6800001,.0057999999,0,0,0,0,8.2804699,0,48,0,1,0,0,1,0,0
1001846,32, , , yes, false,6,3,6, true,0, A, false,true,30.040001,29,29.99,0,0,.72000003,.003,.15000001,.67000002,0,1.16625,17.12171,.67000002,47,0,0,0,0,1,0,0
1001867,44, , town, yes, false,5,2,657, true,29.99, C, false,true,46.18,504.75,49.990002,4.25,0,-.63499999,-.019200001,94.980003,16.67,19,2.0742881,1.6863645,23.33,47,11.33,0,0,0,1,0,0
1001884,42, , suburban, unknown, false,4,4,247, true,149.99001, C, false,true,60.939999,567.75,59.990002,26.25,0,-.33500001,-.211,150.34,16,9,2.6107581,-15.11189,8.6700001,41,.33000001,0,0,0,1,0,0
1001904,24, , town, unknown, false,6,4,433, true,29.99, D, false,true,30.25,113,29.99,0,.25999999,.14,.0076000001,56.209999,7.6700001,12,2.676399,1.7076087,0,43,0,0,0,0,1,0,0
1001937,50, , , no, true,6,3,641, true,9.9899998, A, false,true,36.369999,342.25,34.189999,5.5,0,2.9349999,.36219999,161.3,11,6,2.69175,2.8934314,3.6700001,43,.33000001,0,0,3,1,0,0
1001954,50, , town, no, false,4,2,548, true,29.99, E, false,false,61.040001,337.75,39.099998,38,.41999999,-5.9549999,-.421,92.400002,30,6.3299999,3.6159749,-16.521421,3,45,.67000002,0,0,0,1,0,0
1001987,0, , , unknown, false,0,2,490, true,29.99, C, true,false,66.75,489.25,67.699997,11,0,-.92500001,.1648,130,65,25,2.6047392,-4.8813086,14,41,2.6700001,0,0,2,1,0,0
1002002,0, , , unknown, false,0,3,589, true,9.9899998, C, true,false,66.080002,397.75,34.98,92.75,.88,-2.7950001,-.39579999,97.5,70,3.6700001,1.4931507,7.6241283,5.6700001,45,0,0,0,0,1,0,0
1002023,0, , suburban, unknown, false,0,13,128, true,399.98999, B, true,false,137.75999,2466.5,79.989998,81.25,0,-18.690001,-.73159999,541.32001,119,131,1.2619047,-8.2940769,14,42,0,0,0,2,1,0,0
1002037,34, professional, town, yes, false,9,1,1228, false,0, A, false,true,28.67,33,19.99,4.25,6.8200002,-.5,-.1734,.25,2,0,1.4981273,14.180161,.67000002,40,0,0,0,0,1,0,0
1002046,0, , town, unknown, false,0,5,117, true,79.989998, A, true,false,86.660004,1254.25,84.120003,18.25,0,-6.7249999,-.54079998,454.92001,90.669998,13.33,3.4058774,.46254295,9,46,.67000002,2,0,0,1,0,0
1002054,42, , rural, yes, true,8,4,509, true,29.99, D, false,true,76.779999,717.25,75,0,.28999999,-1.725,.0040000002,237.39999,35,0,2.3636363,17.087305,11.33,42,0,0,0,0,1,0,0
1002066,26, , , unknown, false,6,1,1223, false,0, A, false,true,81.519997,588.5,70.230003,76.75,0,-.50999999,-.5826,98.540001,46,7,2.5156491,-5.6246076,10.33,40,1,0,0,0,1,0,0
1002080,66, , suburban, no, false,4,4,233, true,29.99, A, false,true,39.110001,651.75,30,9,.1,-.035,.068599999,102.58,42,11.33,.72319263,-23.815533,19.33,42,6,0,0,0,1,0,0
1002102,50, professional, , yes, true,6,3,177, true,9.9899998, A, false,true,59.810001,407.75,59.990002,0,8.96,-2.855,-.1964,10.27,13.67,0,4.2455006,5.883256,7.6700001,40,0,0,0,0,1,0,0
1002128,0, , , yes, false,7,1,1212, false,0, A, false,false,34.18,140.25,44.950001,1.5,0,1.035,-.0188,3.72,4.6700001,0,2.58375,4.1799626,1.33,40,0,0,0,0,1,0,0
1002167,38, , town, no, false,6,8,18, true,29.99, A, false,true,80.629997,1053.25,74.989998,21.75,0,-4.4050002,-.046799999,275.94,41.330002,3.6700001,5.9364285,-7.7643642,15.67,42,0,0,0,0,1,0,0
1002184,64, , , yes, false,9,2,1264, false,29.99, A, false,true,53.450001,247.75,30,67,0,-3.915,-.46900001,6.52,6,0,9.9526062,-2.2376409,3,42,0,0,0,3,1,0,0
1002197,28, , , no, false,4,6,656, true,79.989998, D, true,true,35.740002,248.25,32.330002,0,3.3599999,.935,.345,39.919998,26.67,13.67,3.3777869,1.5573071,8,42,.33000001,0,0,0,1,0,0
1002209,44, , , yes, false,4,2,298, true,29.99, A, false,true,165.17999,415.25,159.99001,8,0,.47499999,-.038800001,48.400002,16.67,14.33,2.4722223,8.3215818,6,46,.33000001,0,0,0,1,0,0
1002230,72, crafts, , yes, false,4,5,98, true,149.99001, E, false,true,73.599998,820.25,34.990002,65,0,3.0550001,.097599998,307.10999,25.33,2,.69777203,-.66638684,30.33,41,13.67,0,0,0,1,0,0
1002252,0, , , unknown, false,6,4,97, true,149.99001, C, false,true,173.85001,2112.5,104.98,253.25,0,4.9099998,.63559997,602.98999,99.330002,20.67,1.961079,-2.5864689,18,39,.67000002,0,0,1,1,0,0
1002272,26, , suburban, unknown, false,8,2,482, false,29.99, A, false,true,52.849998,271.5,59.990002,0,.88,-.63,.061799999,40.400002,9,0,3,-8.833416,3.6700001,41,0,0,0,0,1,0,0
1002281,0, , , unknown, false,0,1,1190, false,0, F, true,false,37.419998,208.25,29.75,5.75,0,-2.085,-.082800001,2.8499999,11.67,.67000002,.99195123,2.6502192,10.33,39,2.6700001,0,0,0,1,0,0
1002291,0, , , unknown, false,0,2,890, true,29.99, C, true,false,97.370003,652.5,42.619999,154.75,0,-.33000001,-.81559998,299.54001,57.330002,30.67,1.0604551,-21.173826,5.3299999,45,0,0,0,0,1,0,0
1002310,48, self-employed, , yes, true,9,8,49, true,199.99001, A, false,true,62.57,504,71.440002,26.5,2.21,-.1,.30419999,103.69,25.67,3.6700001,2.4303637,-4.1392264,9,43,4,0,0,0,1,0,0
1002327,22, , , unknown, false,6,3,219, true,199.99001, A, false,true,52.66,362,59.990002,.5,0,1.9400001,.0060000001,163,15.33,3,.95890695,-2.9167621,5.6700001,43,1.67,0,0,0,1,0,0
1002335,28, , , no, false,7,1,1181, false,0, A, false,true,20.17,8,19.99,0,0,.2,-.0035999999,0,1,0,3.6700001,2.6617641,.33000001,39,0,0,0,3,1,0,0
1002345,40, , suburban, yes, false,5,7,141, true,29.99, A, false,true,30.26,75.25,29.99,0,0,.59500003,-.0054000001,20.57,0,0,2.625,-4.6420436,19.33,39,0,0,0,0,1,0,0
1002360,34, , suburban, yes, true,5,1,1177, true,0, A, false,true,20.75,39.5,16.99,12,0,.050000001,-.0031999999,4.5900002,0,0,2.8475749,-4.1948571,0,39,0,0,0,0,1,0,0
1002394,40, self-employed, , yes, false,4,4,65, true,149.99001, A, false,true,51.029999,212.5,59.990002,2,.23999999,-1.05,-.0208,41.169998,12,2,3.359328,-9.3968639,3.3299999,43,0,0,0,0,1,0,0
1002419,0, , , unknown, false,9,1,1339, false,0, C, false,true,31.940001,26.75,31.870001,0,0,-.45500001,-.63880002,.38,13.67,0,3.1116667,11.030355,1.67,44,0,0,0,0,1,0,0
1002439,28, , s, unknown, false,5,2,982, true,29.99, D, false,true,34.98,179.25,30,0,3.46,.19499999,-.091799997,34,4,1,2.2546268,19.030933,3,38,2.6700001,0,0,0,1,0,0
1002458,0, , town, unknown, false,0,2,1082, false,29.99, A, true,false,26.16,30.75,16.99,18.25,0,-.435,-.1236,0,0,0,1.7167382,-12.870254,0,38,0,0,0,0,1,0,0
1002470,0, , unknown, unknown, false,0,2,677, true,29.99, A, true,false,30.25,62.5,30,0,0,1.27,-.0049999999,4.9000001,6.3299999,1,2.6885552,6.064456,.67000002,42,0,0,0,0,1,0,0
1002484,50, , rural, unknown, false,6,4,182, true,79.989998, C, false,true,15.42,284,10,0,0,-.94,.1058,42.66,18,4.3299999,3.2720652,11.871825,3.3299999,38,.67000002,0,0,0,1,0,0
1002494,0, , suburban, unknown, false,0,7,270, true,9.9899998, A, true,false,33.240002,116.75,44.990002,0,0,.064999998,0,28.32,5.6700001,0,4.0848327,10.519908,5,40,0,0,0,2,1,0,0
1002524,26, , , yes, true,7,3,292, true,149.99001, A, false,true,60.369999,1022.75,59.990002,23.75,0,-.29499999,-.0704,237.53,16,12,.9650687,1.413687,7.3299999,42,5.6700001,0,0,0,1,0,0
1002545,50, , , unknown, false,7,2,460, true,29.99, C, true,true,122.94,751,85.68,105,0,4.1799998,.244,150.14,42.669998,7.3299999,4.2618637,2.5376501,10.33,42,.33000001,0,0,0,1,0,0
1002561,46, clerical, , no, false,7,4,322, true,79.989998, D, true,true,41.459999,454,20.32,14.25,5.96,-9.0799999,-.82920003,16.139999,15.67,3.3299999,2.3810713,11.540683,3,38,5.6700001,0,0,0,1,0,0
